dataset,distance
Yoga,2.7270377427339554
WormsTwoClass,1.0738767087459564
Wine,0.0007645818404853344
Wafer,6.83939165994525
TwoLeadECG,0.5704155415296555
Strawberry,0.007021941361017525
SemgHandGenderCh2,4054.080986022949
BeetleFly,0.8655197024345398
BirdChicken,0.2379087507724762
Computers,3.322069972753525
DistalPhalanxOutlineCorrect,0.07187149091623724
Earthquakes,5.257648944854736
ECG200,0.3450244925916195
ECGFiveDays,2.205061100423336
FordA,16.223699241876602
FordB,8.728607058525085
HandOutlines,0.022304373560473323
ItalyPowerDemand,1.1601136289536953
MiddlePhalanxOutlineCorrect,0.018032876425422728
Chinatown,4757623.125
FreezerRegularTrain,1.1784356660209596
FreezerSmallTrain,4.9886933751404285
GunPointAgeSpan,153706.701171875
GunPointMaleVersusFemale,285511.078125
GunPointOldVersusYoung,685699.74609375
PowerCons,1.2440083473920822
Coffee,0.009660053066909313
Ham,0.3341119736433029
Herring,0.023063382133841515
Lightning2,0.8412493765354156
MoteStrain,15.282050609588623
PhalangesOutlinesCorrect,0.05880285328021273
ProximalPhalanxOutlineCorrect,0.00774485751753673
ShapeletSim,6.388806223869324
SonyAIBORobotSurface1,4.237095266580582
SonyAIBORobotSurface2,9.474376454949379
ToeSegmentation1,4.434475779533386
ToeSegmentation2,2.35306379199028
HouseTwenty,3850595.0625
