dataset,metric
Yoga,1.6177877839654684
WormsTwoClass,0.8122416734695435
Wine,0.001789681613445282
Wafer,4.870761998929083
TwoLeadECG,1.3790363483130932
Strawberry,0.011014965217327699
SemgHandGenderCh2,3566.2405166625977
BeetleFly,0.5964971780776978
BirdChicken,0.24120602011680603
Computers,2.973235785961151
DistalPhalanxOutlineCorrect,0.04658569535240531
Earthquakes,5.026489734649658
ECG200,0.2566966526210308
ECGFiveDays,2.215285174548626
FordA,9.518202856183052
FordB,4.5871343314647675
HandOutlines,0.007376049499725923
ItalyPowerDemand,0.9708942975848913
MiddlePhalanxOutlineCorrect,0.04630102217197418
Chinatown,
FreezerRegularTrain,1.8249913532054052
FreezerSmallTrain,4.327069672697689
GunPointAgeSpan,
GunPointMaleVersusFemale,
GunPointOldVersusYoung,
PowerCons,0.9382086619734764
Coffee,0.012350141070783138
Ham,0.3490738943219185
Herring,0.03682093881070614
Lightning2,0.8596910238265991
MoteStrain,13.879061609506607
PhalangesOutlinesCorrect,0.07252316840458661
ProximalPhalanxOutlineCorrect,0.02185396628919989
ShapeletSim,6.236615419387817
SonyAIBORobotSurface1,4.392222568392754
SonyAIBORobotSurface2,8.848252341151237
ToeSegmentation1,7.777206242084503
ToeSegmentation2,2.3315643668174744
HouseTwenty,
